order_book_id,abbrev_symbol,board_type,de_listed_date,exchange,industry_code,industry_name,listed_date,round_lot,sector_code,sector_code_name,special_type,status,symbol,type
000639.XSHE,XWSP,MainBoard,0000-00-00,XSHE,C13,农副食品加工业,1996-11-26,100.0,ConsumerStaples,必需消费品,Normal,Active,西王食品,CS
000650.XSHE,RHYY,MainBoard,0000-00-00,XSHE,C27,医药制造业,1996-12-10,100.0,HealthCare,医疗保健,Normal,Active,仁和药业,CS
000651.XSHE,GLDQ,MainBoard,0000-00-00,XSHE,C38,电气机械和器材制造业,1996-11-18,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,格力电器,CS
000652.XSHE,TDGF,MainBoard,0000-00-00,XSHE,F51,批发业,1996-11-28,100.0,Industrials,工业,Normal,Active,泰达股份,CS
000655.XSHE,*STJL,MainBoard,0000-00-00,XSHE,B08,黑色金属矿采选业,1996-11-28,100.0,Materials,原材料,StarST,Active,*ST金岭,CS
000656.XSHE,JKGF,MainBoard,0000-00-00,XSHE,K70,房地产业,1996-11-28,100.0,Financials,金融,Normal,Active,金科股份,CS
000657.XSHE,ZWGX,MainBoard,0000-00-00,XSHE,C32,有色金属冶炼和压延加工业,1996-12-05,100.0,Materials,原材料,Normal,Active,中钨高新,CS
000659.XSHE,STZF,MainBoard,0000-00-00,XSHE,C29,橡胶和塑料制品业,1996-12-03,100.0,Materials,原材料,StarST,Active,*ST中富,CS
000661.XSHE,CCGX,MainBoard,0000-00-00,XSHE,C27,医药制造业,1996-12-18,100.0,HealthCare,医疗保健,Normal,Active,长春高新,CS
000662.XSHE,TXZH,MainBoard,0000-00-00,XSHE,I65,软件和信息技术服务业,1996-12-16,100.0,InformationTechnology,信息技术,Normal,Active,天夏智慧,CS
000663.XSHE,YALY,MainBoard,0000-00-00,XSHE,C21,家具制造业,1996-12-06,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,永安林业,CS
000665.XSHE,HBGD,MainBoard,0000-00-00,XSHE,R86,广播、电视、电影和影视录音制作业,1996-12-10,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,湖北广电,CS
000666.XSHE,JWFJ,MainBoard,0000-00-00,XSHE,C35,专用设备制造业,1996-12-10,100.0,Financials,金融,Normal,Active,经纬纺机,CS
000667.XSHE,MHZY,MainBoard,0000-00-00,XSHE,K70,房地产业,1996-12-05,100.0,Financials,金融,Normal,Active,美好置业,CS
000668.XSHE,RFKG,MainBoard,0000-00-00,XSHE,K70,房地产业,1996-12-10,100.0,Financials,金融,Normal,Active,荣丰控股,CS
000669.XSHE,JHKG,MainBoard,0000-00-00,XSHE,D45,燃气生产和供应业,1996-12-10,100.0,Utilities,公用事业,Normal,Active,金鸿控股,CS
