datetime,order_book_id,symbol,side,last_quantity,last_price,transaction_cost
2013-03-20 14:50:00,000926.XSHE,福星股份,BUY,2600,7.96,5.00
2013-03-21 14:50:00,002521.XSHE,齐峰新材,SELL,1300,15.52,25.18
2013-03-21 14:50:00,600178.XSHG,东安动力,SELL,200,7.28,6.46
2013-03-21 14:50:00,600510.XSHG,黑牡丹,BUY,100,6.48,5.00
2013-03-21 14:50:00,000926.XSHE,福星股份,BUY,100,7.90,5.00
2013-03-21 14:50:00,600270.XSHG,外运发展,BUY,2700,7.82,5.07
2013-03-25 14:50:00,600178.XSHG,东安动力,SELL,3000,7.23,26.91
2013-03-25 14:50:00,600270.XSHG,外运发展,BUY,100,7.71,5.00
2013-03-25 14:50:00,601718.XSHG,际华集团,BUY,7100,3.03,5.15
2013-03-26 14:50:00,600510.XSHG,黑牡丹,BUY,100,6.28,5.00
2013-03-28 14:50:00,601718.XSHG,际华集团,SELL,7100,2.90,25.56
2013-03-28 14:50:00,002521.XSHE,齐峰新材,BUY,300,14.94,5.00
2013-03-28 14:50:00,600510.XSHG,黑牡丹,SELL,100,6.50,5.65
2013-03-29 14:50:00,000926.XSHE,福星股份,SELL,200,7.67,6.53
2013-03-29 14:50:00,600270.XSHG,外运发展,SELL,2800,7.42,25.78
2013-03-29 14:50:00,600510.XSHG,黑牡丹,SELL,3300,6.62,27.08
2013-03-29 14:50:00,601518.XSHG,吉林高速,BUY,800,2.51,5.00
2013-03-29 14:50:00,002521.XSHE,齐峰新材,BUY,1100,14.64,5.00
2013-03-29 14:50:00,000619.XSHE,海螺型材,BUY,2400,8.65,5.00
2013-04-01 14:50:00,000926.XSHE,福星股份,SELL,2500,7.79,24.48
2013-04-01 14:50:00,002516.XSHE,旷达科技,BUY,2500,8.15,5.00
2013-04-02 14:50:00,000619.XSHE,海螺型材,SELL,500,8.64,9.32
2013-04-02 14:50:00,002516.XSHE,旷达科技,SELL,2500,8.03,25.07
